participant_id,condition,theta_pre,theta_post,delta_theta,se_pre,se_post,eta_pre,eta_post,eta_consistency_pre,eta_consistency_post,manipulation_check
b99de96a35a5,weak,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,4
5ef0af31b387,weak,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5391567182557999,0.6666666666666667,0.0,0.0,2.0,3
ff4b8dc79af7,weak,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5319703208160345,0.3333333333333333,1.0,0.0,0.0,5
b169ca325e92,weak,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5220781016569662,0.6666666666666667,1.0,0.0,0.0,4
2c5eda09c2f5,weak,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5171255167702775,0.6666666666666667,1.0,0.0,0.0,5
b9c6d0964c6e,weak,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,4
94f102e2107b,weak,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
11314cb50bf9,weak,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5157207862942044,0.3333333333333333,1.0,0.0,0.0,3
44a890bb8671,weak,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5070115268121452,0.6666666666666667,0.75,0.0,0.4999999999999999,3
ec19ebe3fe78,weak,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5238151055842203,0.3333333333333333,0.8,0.0,0.3999999999999999,5
74a3250bad45,weak,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5083201188974047,0.6666666666666667,1.0,0.0,0.0,4
ea686963f259,weak,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5241559909495374,0.3333333333333333,0.0,0.0,2.0,5
92dd427cfd84,weak,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,4
38ddbb223151,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5443650516916747,0.6666666666666667,0.8,0.0,0.3999999999999999,6
bdc04875a39d,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.4912808884416338,1.0,0.75,0.0,0.4999999999999999,5
971293d0bcf8,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5205025000331743,0.6666666666666667,0.25000000000000006,0.0,0.5000000000000001,7
249007746897,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5085259476206688,1.0,0.5,0.0,1.0,7
d975ce1e4f7e,strong,0.0,1.9106332362490186,1.9106332362490186,0.0,0.4943786827850615,0.3333333333333333,1.0,0.0,0.0,6
1bb23fce6ceb,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.4702422729662616,1.0,1.0,0.0,0.0,7
4f200d24b5fe,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5279330521139645,1.0,0.25000000000000006,0.0,0.5000000000000001,7
e6f6367ddf51,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5374718383405052,1.0,0.8,0.0,0.3999999999999999,5
543f87df54b5,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5219011264041756,0.6666666666666667,1.0,0.0,0.0,6
ccd5c0d66165,strong,0.8410686705679302,1.2309594173407747,0.3898907467728445,0.5395296251286311,0.5327752106579488,0.8,0.5,0.3999999999999999,1.0,6
4e4665bfb5bf,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.49188396201704027,0.6666666666666667,0.75,0.0,0.4999999999999999,7
5dcc20680864,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5235001199052983,0.3333333333333333,1.0,0.0,0.0,6
d70e20b1abf6,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5107049083099514,0.6666666666666667,0.75,0.0,0.4999999999999999,5
2c100721bc99,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5219942617894838,1.0,1.0,0.0,0.0,5
2b9eb54892a2,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5412601615249871,1.0,0.8,0.0,0.3999999999999999,5
5c4e005975c6,strong,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,5
67eac15f1446,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.49055052034058494,1.0,0.75,0.0,0.4999999999999999,7
a18223e42274,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5268042938753107,1.0,0.6,0.0,0.7999999999999999,6
4df20339d37f,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.4856709103594598,1.0,0.6666666666666666,0.0,0.6666666666666667,5
10bc77180754,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5254609702394583,0.6666666666666667,0.8,0.0,0.3999999999999999,5
6de33c70dd14,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.4649552922481871,0.6666666666666667,0.6666666666666666,0.0,0.6666666666666667,7
25cf6e4c5643,strong,0.0,0.0,0.0,0.0,0.0,1.0,-0.3333333333333333,0.0,0.0,7
dfa8842ee171,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.4976656205547217,0.3333333333333333,1.0,0.0,0.0,7
8843f891e19f,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.5250645041505687,0.6666666666666667,0.5,0.0,1.0,7
e46b24faca36,strong,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,6
60d99091ef26,strong,0.0,1.5707963267948966,1.5707963267948966,0.0,0.4942324527242486,1.0,1.0,0.0,0.0,5
ad7d21c59e48,strong,0.0,1.2309594173407747,1.2309594173407747,0.0,0.47310680490609164,0.6666666666666667,1.0,0.0,0.0,5
c18692da45c3,strong,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,7
afb905b61315,strong,0.0,0.8410686705679302,0.8410686705679302,0.0,0.5343945462947871,0.6666666666666667,1.0,0.0,0.0,5
